№,Видеокарта,Тип,Производительность,Архитектура,Год выпуска,TDP
1,GeForce RTX 4090,десктопная,100.00,Ada Lovelace,2022,450 W
2,GeForce RTX 4090 D,десктопная,93.82,Ada Lovelace,2023,425 W
3,GeForce RTX 4080,десктопная,89.75,Ada Lovelace,2022,320 W
4,RTX 5880 Ada Generation,для рабочих станций,89.60,Ada Lovelace,2024,285 W
5,GeForce RTX 4080 SUPER,десктопная,88.89,Ada Lovelace,2024,320 W
6,GeForce RTX 4070 Ti,десктопная,82.49,Ada Lovelace,2023,285 W
7,GeForce RTX 4070 Ti SUPER,десктопная,82.23,Ada Lovelace,2024,285 W
8,Radeon RX 7900 XTX,десктопная,80.53,RDNA 3.0,2022,355 W
9,GeForce RTX 4070 SUPER,десктопная,78.16,Ada Lovelace,2024,220 W
10,RTX 4500 Ada Generation,для рабочих станций,77.28,Ada Lovelace,2023,210 W
11,GeForce RTX 3090 Ti,десктопная,76.91,Ampere,2022,450 W
12,Radeon PRO W7900,для рабочих станций,76.35,RDNA 3.0,2023,295 W
13,Radeon RX 7900 XT,десктопная,74.78,RDNA 3.0,2022,300 W
14,Radeon PRO W7800,для рабочих станций,74.13,RDNA 3.0,2023,260 W
15,Radeon RX 6950 XT,десктопная,72.97,RDNA 2.0,2022,335 W
16,RTX 6000 Ada Generation,для рабочих станций,72.72,Ada Lovelace,2022,300 W
17,RTX 5000 Ada Generation,для рабочих станций,72.57,Ada Lovelace,2023,250 W
18,GeForce RTX 4090 Mobile,для ноутбуков,71.82,Ada Lovelace,2023,120 W
19,GeForce RTX 3080 Ti,десктопная,70.28,Ampere,2021,350 W
20,GeForce RTX 4070,десктопная,69.93,Ada Lovelace,2023,200 W
21,Radeon RX 6900 XT,десктопная,69.44,RDNA 2.0,2020,300 W
22,Radeon RX 6900,десктопная,69.44,RDNA 2.0,2020,255 W
23,Radeon RX 7900 GRE,десктопная,69.39,RDNA 3.0,2023,260 W
24,GeForce RTX 3090,десктопная,69.29,Ampere,2020,350 W
25,GeForce RTX 3080 12 GB,десктопная,69.09,Ampere,2022,350 W
26,GeForce RTX 3080,десктопная,65.39,Ampere,2020,320 W
27,GeForce RTX 4080 Mobile,для ноутбуков,65.06,Ada Lovelace,2023,110 W
28,Radeon RX 6800 XT,десктопная,64.92,RDNA 2.0,2020,300 W
29,RTX 4000 Ada Generation,для рабочих станций,64.01,Ada Lovelace,2023,130 W
30,Radeon RX 7800 XT,десктопная,63.09,RDNA 3.0,2023,263 W
31,RTX 5000 Ada Generation Mobile,для ноутбуков,62.50,Ada Lovelace,2022,225 W
32,GeForce RTX 3070 Ti,десктопная,61.09,Ampere,2021,290 W
33,GeForce RTX 4060 Ti,десктопная,59.44,Ada Lovelace,2023,160 W
34,GeForce RTX 4060 Ti 16 GB,десктопная,59.32,Ada Lovelace,2023,165 W
35,RTX 4000 Ada Generation Mobile,для мобильных рабочих станций,59.26,Ada Lovelace,2023,150 W
36,RTX A5000,для рабочих станций,59.24,Ampere,2021,230 W
37,Quadro RTX A6000,для рабочих станций,58.68,Ampere,2020,300 W
38,Radeon RX 7900M,для ноутбуков,58.37,RDNA 3.0,2023,180 W
39,Radeon RX 7700,десктопная,58.08,RDNA 3.0,2023,200 W
40,Radeon RX 7700 XT,десктопная,58.08,RDNA 3.0,2023,245 W
41,GeForce RTX 3070,десктопная,57.96,Ampere,2020,220 W
42,Radeon RX 6800,десктопная,57.52,RDNA 2.0,2020,250 W
43,RTX A5500,для рабочих станций,56.93,Ampere,2022,230 W
44,GeForce RTX 2080 Ti,десктопная,56.35,Turing,2018,250 W
45,RTX A4500,для рабочих станций,56.09,Ampere,2021,200 W
46,RTX 4000 SFF Ada Generation,для рабочих станций,54.54,Ada Lovelace,2023,70 W
47,Radeon RX 6750 XT,десктопная,53.95,RDNA 2.0,2022,250 W
48,GeForce RTX 3060 Ti,десктопная,53.11,Ampere,2020,200 W
49,GeForce RTX 4060,десктопная,51.56,Ada Lovelace,2023,115 W
50,Radeon RX 6700 XT,десктопная,51.51,RDNA 2.0,2021,230 W
51,Quadro GV100,для рабочих станций,51.38,Volta,2018,250 W
52,Radeon Pro W6800,для рабочих станций,51.30,RDNA 2.0,2021,250 W
53,GeForce RTX 3080 Ti Mobile,для ноутбуков,51.07,Ampere,2022,115 W
54,GeForce RTX 2080 Super,десктопная,50.72,Turing,2019,250 W
55,GeForce RTX 4070 Mobile,для ноутбуков,50.68,Ada Lovelace,2023,115 W
56,RTX A4000,для рабочих станций,50.36,Ampere,2021,140 W
57,TITAN Xp,десктопная,50.35,Pascal,2017,250 W
58,Radeon RX 6700,десктопная,50.09,RDNA 2.0,2021,175 W
59,Radeon RX 6750 GRE 12 GB,десктопная,50.01,RDNA 2.0,2023,250 W
60,Quadro RTX 8000,для рабочих станций,49.97,Turing,2018,260 W
61,Radeon PRO W7700,для рабочих станций,49.84,RDNA 3.0,2023,190 W
62,RTX 3500 Ada Generation Mobile,для мобильных рабочих станций,49.06,Ada Lovelace,2023,115 W
63,TITAN RTX,десктопная,48.88,Turing,2018,280 W
64,GeForce RTX 2080,десктопная,48.72,Turing,2018,215 W
65,Quadro RTX 6000,для рабочих станций,48.55,Turing,2018,260 W
66,A10G,для рабочих станций,48.53,Ampere,2021,150 W
67,Radeon RX 6750 GRE,десктопная,48.24,RDNA 2.0,2023,250 W
68,Radeon RX 6750 GRE 10 GB,десктопная,48.24,RDNA 2.0,2023,170 W
69,GeForce GTX 1080 Ti,десктопная,48.13,Pascal,2017,250 W
70,GeForce RTX 2070 Super,десктопная,47.26,Turing,2019,215 W
71,GeForce RTX 3070 Ti Mobile,для ноутбуков,46.54,Ampere,2022,115 W
72,RTX 2000 Ada Generation,для рабочих станций,45.92,Ada Lovelace,2024,70 W
73,GeForce RTX 4060 Mobile,для ноутбуков,45.74,Ada Lovelace,2023,115 W
74,Radeon Pro W5700X,для рабочих станций,45.59,RDNA 1.0,2019,205 W
75,Radeon RX 6850M XT,для ноутбуков,45.39,RDNA 2.0,2022,165 W
76,RTX A4500 Mobile,для мобильных рабочих станций,45.29,Ampere,2022,140 W
77,RTX A5500 Mobile,для мобильных рабочих станций,44.97,Ampere,2022,165 W
78,Radeon RX 6650 XT,десктопная,44.60,RDNA 2.0,2022,176 W
79,Radeon RX 7600 XT,десктопная,44.49,RDNA 3.0,2024,190 W
80,TITAN V,десктопная,44.39,Volta,2017,250 W
81,GeForce RTX 3060,десктопная,44.28,Ampere,2021,170 W
82,Radeon RX 6650M XT,для ноутбуков,44.24,RDNA 2.0,2022,120 W
83,TITAN V CEO Edition,десктопная,44.03,Volta,2018,250 W
84,L40S,для рабочих станций,43.32,Ada Lovelace,2022,300 W
85,Radeon VII,десктопная,43.17,GCN 5.1,2019,295 W
86,Radeon RX 5700 XT,десктопная,42.93,RDNA 1.0,2019,225 W
87,Radeon RX 5700 XT 50th Anniversary,десктопная,42.92,RDNA 1.0,2019,225 W
88,GeForce RTX 2060 Super,десктопная,42.84,Turing,2019,175 W
89,Radeon RX 7600,десктопная,42.82,RDNA 3.0,2023,165 W
90,Radeon RX 6600 XT,десктопная,42.79,RDNA 2.0,2021,160 W
91,GeForce RTX 3080 Mobile,для ноутбуков,42.68,Ampere,2021,115 W
92,Quadro GP100,для рабочих станций,42.44,Pascal,2016,235 W
93,GeForce GTX 1070 SLI (мобильная),для ноутбуков,41.99,Pascal,2016,−
94,GeForce RTX 2070,десктопная,41.85,Turing,2018,175 W
95,RTX A5000 Mobile,для мобильных рабочих станций,41.80,Ampere,2021,150 W
96,RTX 3000 Ada Generation Mobile,для мобильных рабочих станций,41.79,Ada Lovelace,2023,115 W
97,Quadro RTX 5000,для рабочих станций,41.33,Turing,2018,230 W
98,GeForce RTX 2060 12 GB,десктопная,41.24,Turing,2021,184 W
99,Radeon Pro W6600,для рабочих станций,40.47,RDNA 2.0,2021,100 W
100,Radeon Pro Vega II,для рабочих станций,40.42,GCN 5.1,2019,475 W
101,Radeon Pro W6800X Duo,для рабочих станций,40.32,RDNA 2.0,2021,400 W
102,Radeon Pro W6800X,для рабочих станций,40.32,RDNA 2.0,2021,200 W
